protocol,concurrency,success,failed,req_throughput_s,output_tok_throughput_s,ttft_mean_ms,ttft_p99_ms,tpot_mean_ms,tpot_p99_ms,itl_mean_ms,e2e_mean_ms,e2e_p99_ms
grpc,1,100,0,4.4679,4.4679,4.708,5.691,,,1.724,223.792,225.323
rest,1,100,0,4.4386,567.9691,5.153,6.807,1.734,1.76,1.734,225.264,226.714
grpc,5,100,0,19.7151,19.7151,8.033,13.848,,,1.931,253.523,259.713
rest,5,100,0,19.6603,2515.7285,6.977,10.05,1.946,1.979,1.946,254.094,257.28
grpc,10,100,0,38.6892,38.6892,11.451,17.839,,,1.939,258.346,265.75
rest,10,100,0,38.7983,4966.1838,8.73,13.336,1.957,1.969,1.957,257.278,262.189
grpc,25,100,0,90.1349,90.1349,15.966,22.774,,,2.045,276.676,283.909
rest,25,100,0,88.9905,11389.0101,17.393,23.824,2.067,2.129,2.067,279.837,285.269
grpc,50,100,0,165.1021,165.1021,27.829,36.302,,,2.139,300.54,310.974
rest,50,100,0,160.5125,20543.9892,32.129,42.45,2.184,2.277,2.184,309.424,313.978
